time,open,high,low,close,Volume
1745452500,93523.1,93649.1,93523,93632.2,101.1525
1745452800,93632.2,93725,93522.5,93522.5,164.0687
1745453100,93522.5,93553.3,93458.9,93490.2,208.391
1745453400,93490.2,93491.7,93350,93395.9,208.0028
1745453700,93395.9,93512.7,93299.8,93473,369.5836
1745454000,93473,93593.5,93306.2,93340,191.9718
1745454300,93340,93358.5,93242,93267.4,197.6874
1745454600,93267.4,93398.1,93201.5,93388.9,591.892
1745454900,93388.9,93457.3,93370,93441.7,264.1112
1745455200,93441.7,93600,93438.6,93586.6,220.8072
1745455500,93586.6,93586.6,93413.1,93421,210.6945
1745455800,93421,93450,93368,93380.4,132.6864
1745456100,93380.4,93400,93305.9,93329.8,325.934
1745456400,93329.8,93329.9,93198.6,93315.3,317.6178
1745456700,93315.3,93411.2,93309.6,93383.5,216.2934
1745457000,93383.5,93397.7,93123.4,93195.1,392.9772
1745457300,93195.1,93214.4,93079,93151.3,373.6211
1745457600,93151.3,93179.2,93026,93065.7,349.1809
1745457900,93065.7,93249.2,93050,93238.6,388.9211
1745458200,93238.6,93356,93238.6,93320.5,352.1202
1745458500,93320.5,93436.1,93301.6,93332,228.7231
1745458800,93332,93441,93331,93418.2,148.6348
1745459100,93418.2,93450,93264,93449.9,529.4116
1745459400,93449.9,93450,93370,93441.2,117.0515
1745459700,93441.2,93578.3,93431,93447.4,409.2215
1745460000,93447.4,93470.1,93342.1,93404.9,226.7721
1745460300,93404.9,93500,93301,93435.9,142.4441
1745460600,93435.9,93565,93399.7,93547.5,226.5851
1745460900,93547.5,93593.4,93390.3,93435.7,407.5546
1745461200,93435.7,93487.9,93389.1,93389.3,195.7831
1745461500,93389.3,93520.1,93389.3,93476.1,90.3484
1745461800,93476.1,93501.1,93399.4,93399.8,67.3109
1745462100,93399.8,93451.7,93353.3,93401.3,150.5862
1745462400,93401.3,93401.3,93170,93203.5,263.6457
1745462700,93203.5,93264.7,93111,93111.1,305.0533
1745463000,93111.1,93204.7,93111,93147.1,226.0303
1745463300,93147.1,93157.2,92988.6,93058.1,683.088
1745463600,93058.1,93186,93053,93100.5,368.047
1745463900,93100.5,93275,93067,93226.9,179.0233
1745464200,93226.9,93227,93070.3,93095.2,151.893
1745464500,93095.2,93158.2,93095.1,93148.8,83.791
1745464800,93148.8,93213.8,93091.8,93138.3,85.1772
1745465100,93138.3,93228.9,93130,93228.9,114.8876
1745465400,93228.9,93237.9,93011.7,93011.7,168.2611
1745465700,93011.7,93011.7,92890,92934.1,716.1071
1745466000,92934.1,92938.6,92797.7,92801.1,594.1901
1745466300,92801.1,92959.1,92738.2,92766.3,495.1913
1745466600,92766.3,92789,92666.6,92679.3,545.4842
1745466900,92679.3,92736.8,92607.1,92632.8,598.0572
1745467200,92632.8,92798.5,92629.7,92709.1,575.8791
1745467500,92709.1,92723.5,92452.5,92477.2,823.3738
1745467800,92477.2,92638.5,92335.8,92631.9,1842.3749
1745468100,92631.9,92643.2,92400,92563.6,539.6554
1745468400,92563.6,92762,92500,92685.8,432.999
1745468700,92685.8,92707.3,92647.2,92679.1,230.3025
